City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Albany,US,42.6001,-73.9662,28.74,66,1,3.0,clear sky
80,Port Elizabeth,ZA,-33.918,25.5701,56.1,72,94,8.84,light rain
81,Imbituba,BR,-28.24,-48.6703,72.82,75,87,11.41,overcast clouds
82,Pangkalanbuun,ID,-2.6833,111.6167,75.27,96,100,2.55,overcast clouds
83,Pangnirtung,CA,66.1451,-65.7125,22.62,91,100,12.17,snow
84,Kalmunai,LK,7.4167,81.8167,76.8,87,100,8.25,overcast clouds
85,Kannur,IN,11.8675,75.3576,75.7,89,71,5.95,broken clouds
86,Noyabrsk,RU,63.1994,75.4507,7.23,95,99,9.37,overcast clouds
87,Lengshuitan,CN,26.4111,111.5956,50.68,61,100,1.39,overcast clouds
88,Bathsheba,BB,13.2167,-59.5167,79.36,84,88,12.59,overcast clouds
89,Cap-Aux-Meules,CA,47.3821,-61.8597,39.25,93,90,23.02,light intensity drizzle
90,Yuanping,CN,38.7153,112.7575,33.75,32,0,2.93,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,18,7.25,few clouds
92,Georgetown,MY,5.4112,100.3354,80.89,84,20,1.99,few clouds
93,Hermanus,ZA,-34.4187,19.2345,58.8,80,100,6.02,overcast clouds
94,Severo-Yeniseyskiy,RU,60.3725,93.0408,17.33,94,100,5.35,overcast clouds
95,Lima,PE,-12.0432,-77.0282,66.9,76,0,11.5,clear sky
96,Hobyo,SO,5.3505,48.5268,79.02,77,100,5.73,light rain
97,Klaksvik,FO,62.2266,-6.589,41.92,64,8,34.63,clear sky
98,Cabedelo,BR,-6.9811,-34.8339,79.3,77,2,10.74,clear sky
99,Kamenka,RU,51.3223,42.7678,16.75,72,40,4.92,scattered clouds
100,Sao Filipe,CV,14.8961,-24.4956,79.47,71,100,3.18,overcast clouds
101,Lagoa,PT,39.05,-27.9833,66.09,81,92,21.59,overcast clouds
102,Colares,PT,38.7992,-9.4469,55.33,71,30,8.01,scattered clouds
